"event_count","customer","customer_id","customer_1","customer_1_id","customer_2","customer_2_id","customer_3","customer_3_id","customer_4","customer_4_id","customer_5","customer_5_id","customer_6","customer_6_id"
40256,Kooner Truck Repair Inc,"557",Amazon Logistics Inc,"1081",,,,,,,,,,
360,Boulevard Tire Center,"199",Werner Enterprises Inc,"1034",,,,,,,,,,
8129,Parkhouse Tire Inc,"707",Incremental Tenants,"1203",,,,,,,,,,
1253,Dorsey Tire,"354",Incremental Tenants,"1203",,,,,,,,,,
572,P & B Intermodal Services LLC,"694",Direct ChassisLink Inc,"1112",STG Logistics,"884",,,,,,,,
16019,Kal Tire Ltd,"538",Incremental Tenants,"1203",,,,,,,,,,
23,World Truck Towing,"2139",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
25,Pomps Tire Service Inc,"68",Saia Motor Freight Line LLC,"77",,,,,,,,,,
3,Eagle Teleservices,"1117",Dan Callaghan Enterprises Inc,"237",Direct ChassisLink Inc,"1112",Hub Group Inc,"1133",,,,,,
768,HB Ind Repair Services Inc,"1130",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
29,ATCC Repair Services,"1082",Direct ChassisLink Inc,"1112",,,,,,,,,,
206,Wise Carriers,"1193",RXO,"1174",,,,,,,,,,
20,HD Mobile Truck And Trailer Repair,"1131",Direct ChassisLink Inc,"1112",,,,,,,,,,
1671,Wise Carriers,"1193",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
18,Bridgestone Americas LLC,"210",Sullivan Tire,"1722",Bridgestone Americas LLC,"210",Incremental Tenants,"1203",,,,,,
166,Road Kings Fleet Services,"1167",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
28,Pomps Tire Service Inc,"68",Bridgestone Americas LLC,"210",Ashley Distribution,"135",,,,,,,,
729,Pomps Tire Service Inc,"68",Direct ChassisLink Inc,"1112",,,,,,,,,,
5,Eagle Teleservices,"1117",S & S Tire,"1677",Bridgestone Americas LLC,"210",Incremental Tenants,"1203",,,,,,
217,Lintrac Services Inc,"575",STG Logistics,"884",,,,,,,,,,
308,TNT Roadside Repair,"1184",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
109,Marine Repair Services Container Maintenance Corp,"770",Direct ChassisLink Inc,"1112",,,,,,,,,,
31,Eagle Teleservices,"1117",Best One,"73",Bridgestone Americas LLC,"210",Bulk Transport Co East Inc,"1854",,,,,,
87,Bridgestone Americas LLC,"210",Incremental Tenants,"1203",Bridgestone Americas LLC,"210",Incremental Tenants,"1203",,,,,,
3,Kal Tire Ltd,"538",Bridgestone Americas LLC,"210",XPO Inc,"1059",,,,,,,,
960,Roadrunner Towing And Truck Service LLC,"1172",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
20,Willies Mobile Service Inc,"1192",Direct ChassisLink Inc,"1112",Incremental Tenants,"1203",,,,,,,,
867,Miscellaneous NP Tenants,"1068",Hub Group Inc,"1133",,,,,,,,,,
366,Boulevard Tire Center,"199",Penske Corp Inc,"29",,,,,,,,,,
46,J & T Trailer Service,"1937",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
923,Senoran Truck Repair,"1176",Direct ChassisLink Inc,"1112",Hub Group Inc,"1133",,,,,,,,
12,Bridgestone Americas LLC,"210",Best One,"73",Bridgestone Americas LLC,"210",Bulk Transport Co East Inc,"1854",,,,,,
2,Eagle Teleservices,"1117",Best One,"73",Bridgestone Americas LLC,"210",USA Truck Inc,"989",,,,,,
164,McCarthy Tire Service,"613",Bridgestone Americas LLC,"210",Incremental Tenants,"1203",,,,,,,,
53,Burnside Tire And Service,"1092",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
135,Illinois Fleet Service Inc,"493",Direct ChassisLink Inc,"1112",Incremental Tenants,"1203",,,,,,,,
175,FYX Fleet LLC,"42",STG Logistics,"884",,,,,,,,,,
31,Black Label Repair,"1087",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
35,Eagle Teleservices,"1117",Best One,"73",Direct ChassisLink Inc,"1112",Hub Group Inc,"1133",,,,,,
65,Thomas Fleet Service LLC,"930",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
354,Willies Mobile Service Inc,"1192",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
3,Pomps Tire Service Inc,"68",Bridgestone Americas LLC,"210",United Parcel Service Inc,"25",,,,,,,,
1,Bridgestone Americas LLC,"210",H & F Tire Service,"1789",Bridgestone Americas LLC,"210",XPO Inc,"1059",,,,,,
289,Goodyear FleetHQ,"1128",Schneider National Inc,"824",,,,,,,,,,
7,Dark Horse Services,"1106",Direct ChassisLink Inc,"1112",Incremental Tenants,"1203",,,,,,,,
2641,TA Shops (Integrated),"1312",TravelCenters Of America Inc,"1187",Cox Automotive Inc,"305",,,,,,,,
1228,Southern Tire Mart LLC,"865",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
99,TA Shops (Integrated),"1312",TravelCenters Of America Inc,"1187",Ryder,"1530",,,,,,,,
12527,TA Shops (Integrated),"1312",TravelCenters Of America Inc,"1187",Incremental Tenants,"1203",,,,,,,,
5209,Boulevard Tire Center,"199",Incremental Tenants,"1203",,,,,,,,,,
458,Lintrac Services Inc,"575",Direct ChassisLink Inc,"1112",,,,,,,,,,
1593,P & B Intermodal Services LLC,"694",Flexi Van Central Chassis Pool,"1282",,,,,,,,,,
3637,Cox Automotive Inc,"305",Amazon Logistics Inc,"1081",,,,,,,,,,
121,OTR Fleet Service,"1159",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
2389,Chassis Support Services,"1209",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
300,Incremental Tenants,"1203",Direct ChassisLink Inc,"1112",,,,,,,,,,
191,Best One,"73",Bridgestone Americas LLC,"210",Miscellaneous NP Tenants,"1068",,,,,,,,
26,TA Shops (Integrated),"1312",TravelCenters Of America Inc,"1187",Kenan Advantage Group Inc,"72",,,,,,,,
378,Lintrac Services Inc,"575",Knight Transportation,"553",,,,,,,,,,
50,Eagle Teleservices,"1117",Dan Callaghan Enterprises Inc,"237",Bridgestone Americas LLC,"210",Miscellaneous NP Tenants,"1068",,,,,,
73,Eagle Teleservices,"1117",Best One,"73",Bridgestone Americas LLC,"210",XPO Inc,"1059",,,,,,
2640,Fleetpride Inc,"406",Amazon Logistics Inc,"1081",,,,,,,,,,
247,Skyway Road Service Corp,"847",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
149,Incremental Tenants,"1203",TravelCenters Of America Inc,"1187",Bennett Motor Express,"167",,,,,,,,
1455,FYX Fleet LLC,"42",Amazon Logistics Inc,"1081",,,,,,,,,,
39,"1580 Utility Trailer","1533",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
67,Senoran Truck Repair,"1176",Direct ChassisLink Inc,"1112",FedEx Freight Inc,"396",,,,,,,,
104,Parkhouse Tire Inc,"707",Amazon Logistics Inc,"1081",,,,,,,,,,
215,Boulevard Tire Center,"199",The Coca Cola Co,"280",,,,,,,,,,
50,Loves Travel Stops & Country Stores Inc,"39",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
320,Eagle Teleservices,"1117",Best One,"73",Bridgestone Americas LLC,"210",Miscellaneous NP Tenants,"1068",,,,,,
97,Boulevard Tire Center,"199",Maschmeyer Concrete,"1549",,,,,,,,,,
5,Wells Mobile Truck & Trailer Repair LLC,"1936",Direct ChassisLink Inc,"1112",,,,,,,,,,
68,P & B Intermodal Services LLC,"694",Direct ChassisLink Inc,"1112",FedEx Freight Inc,"396",,,,,,,,
262,Southern Tire Mart LLC,"865",Bridgestone Americas LLC,"210",Bulk Transport Co East Inc,"1854",,,,,,,,
11,McCarthy Tire Service,"613",Bridgestone Americas LLC,"210",New Bern Transport Corp,"45",,,,,,,,
5,McCarthy Tire Service,"613",Clarke Power Services Inc,"271",,,,,,,,,,
168,Boulevard Tire Center,"199",Reyes Holdings LLC,"773",,,,,,,,,,
155,Pomps Tire Service Inc,"68",Direct ChassisLink Inc,"1112",STG Logistics,"884",,,,,,,,
611,Foccus Road Service,"1539",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
514,Illinois Fleet Service Inc,"493",Direct ChassisLink Inc,"1112",,,,,,,,,,
5,TA Shops (Non Integrated),"1281",Bridgestone Americas LLC,"210",Transwood Inc,"957",,,,,,,,
72,Boulevard Tire Center,"199",National Freight Inc,"654",,,,,,,,,,
49,OMV Services,"1238",Direct ChassisLink Inc,"1112",,,,,,,,,,
381,Eagle Teleservices,"1117",Boulevard Tire Center,"199",Bridgestone Americas LLC,"210",Amazon Logistics Inc,"1081",,,,,,
256,Pomps Tire Service Inc,"68",Bridgestone Americas LLC,"210",Incremental Tenants,"1203",,,,,,,,
41,Willies Mobile Service Inc,"1192",Direct ChassisLink Inc,"1112",STG Logistics,"884",,,,,,,,
2,Bridgestone Americas LLC,"210",Boss Truck Shop Inc,"198",Bridgestone Americas LLC,"210",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,
17,Southern Tire Mart LLC,"865",Bridgestone Americas LLC,"210",The Kroger Co,"921",,,,,,,,
2,P & B Intermodal Services LLC,"694",RapidLink Repairs,"1986",Mark It Express,"1990",,,,,,,,
4927,FYX Fleet LLC,"42",Hub Group Inc,"1133",,,,,,,,,,
1145,Illinois Fleet Service Inc,"493",Direct ChassisLink Inc,"1112",Amazon Logistics Inc,"1081",,,,,,,,
18577,TA Shops (Integrated),"1312",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
5,Chastang Autocar,"2232",TravelCenters Of America Inc,"1187",Amazon Logistics Inc,"1081",,,,,,,,
2523,McCarthy Tire Service,"613",Bridgestone Americas LLC,"210",Amazon Logistics Inc,"1081",,,,,,,,
